arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
real_acc_0057.png,banalização,banalizacao,real0057,236,-1,True,cedilha,abaixo,8,True,0,0.0,0.0,False,,,,,,,,0.0,,
real_acc_0057.png,banalização,banalizacao,real0057,236,-1,True,til,acima,9,True,283,0.52602,0.21972,False,,,,,,,,0.52602,,
real_acc_0058.png,momentânea,momentanea,real0058,439,-1,True,circunflexo,acima,6,True,92,0.30263,0.06314,False,,,,,,,,0.30263,,
real_acc_0059.png,vão,vao,real0059,894,-1,True,til,acima,1,True,184,0.22521,0.08456,False,,,,,,,,0.22521,,
real_acc_0060.png,contribuírem,contribuirem,real0060,437,-1,True,agudo,acima,8,True,86,0.27564,0.04994,False,,,,,,,,0.27564,,
real_acc_0061.png,democratização,democratizacao,real0061,807,-1,True,cedilha,abaixo,11,True,127,0.65128,0.13066,False,,,,,,,,0.65128,,
real_acc_0061.png,democratização,democratizacao,real0061,807,-1,True,til,acima,12,True,97,0.59509,0.09623,False,,,,,,,,0.59509,,
real_acc_0062.png,contemporâneo,contemporaneo,real0062,892,-1,True,circunflexo,acima,9,True,78,0.22478,0.06964,False,,,,,,,,0.22478,,
real_acc_0063.png,históricos,historicos,real0063,895,-1,True,agudo,acima,4,True,903,2.84858,0.36178,False,,,,,,,,2.84858,,
real_acc_0064.png,doenças,doencas,real0064,446,-1,True,cedilha,abaixo,4,True,106,0.43089,0.15543,False,,,,,,,,0.43089,,
real_acc_0065.png,harmônico,harmonico,real0065,458,-1,True,circunflexo,acima,4,True,88,0.25656,0.07018,False,,,,,,,,0.25656,,
real_acc_0066.png,não,nao,real0066,387,-1,True,til,acima,1,True,344,0.40518,0.11797,False,,,,,,,,0.40518,,
real_acc_0067.png,está,esta,real0067,241,-1,True,agudo,acima,3,True,100,0.13514,0.13228,False,,,,,,,,0.13514,,
real_acc_0068.png,população,populacao,real0068,233,-1,True,cedilha,abaixo,6,True,60,0.25105,0.05017,False,,,,,,,,0.25105,,
real_acc_0068.png,população,populacao,real0068,233,-1,True,til,acima,7,True,81,0.30566,0.08004,False,,,,,,,,0.30566,,
real_acc_0069.png,importância,importancia,real0069,403,-1,True,circunflexo,acima,6,True,238,0.4741,0.20034,False,,,,,,,,0.4741,,
real_acc_0070.png,Único,Unico,real0070,247,-1,True,agudo,acima,0,True,393,2.69178,0.14291,False,,,,,,,,2.69178,,
real_acc_0071.png,construção,construcao,real0071,895,-1,True,cedilha,abaixo,7,True,53,0.16061,0.10454,False,,,,,,,,0.16061,,
real_acc_0071.png,construção,construcao,real0071,895,-1,True,til,acima,8,True,188,0.48579,0.16068,False,,,,,,,,0.48579,,
real_acc_0072.png,têm,tem,real0072,88,-1,True,circunflexo,acima,1,True,314,0.55872,0.22301,False,,,,,,,,0.55872,,
real_acc_0073.png,área,area,real0073,446,-1,True,agudo,acima,0,True,133,0.43042,0.10215,False,,,,,,,,0.43042,,
real_acc_0074.png,promoção,promocao,real0074,453,-1,True,cedilha,abaixo,5,True,48,0.12245,0.04878,False,,,,,,,,0.12245,,
real_acc_0074.png,promoção,promocao,real0074,453,-1,True,til,acima,6,True,58,0.20423,0.06151,False,,,,,,,,0.20423,,
real_acc_0075.png,resistência,resistencia,real0075,880,-1,True,circunflexo,acima,6,True,108,0.26024,0.08096,False,,,,,,,,0.26024,,
real_acc_0076.png,psíquicos,psiquicos,real0076,441,-1,True,agudo,acima,2,True,63,0.24609,0.05806,False,,,,,,,,0.24609,,
real_acc_0077.png,informações,informacoes,real0077,988,-1,True,cedilha,abaixo,7,True,95,0.25333,0.15966,False,,,,,,,,0.25333,,
